index,Gene symbol,HGNC ID,UniProt
287,ADAMTS18,HGNC:17110,Q8TE60
288,ADAMTS19,HGNC:17111,Q8TE59
289,ADAMTS20,HGNC:17178,P59510
290,ADAMTSL1,HGNC:14632,Q8N6G6
291,ADAMTSL2,HGNC:14631,Q86TH1
292,ADAMTSL3,HGNC:14633,P82987
293,ADAMTSL4,HGNC:19706,Q6UY14
294,ADAMTSL5,HGNC:27912,Q6ZMM2
295,ADAP1,HGNC:16486,O75689
296,ADAP2,HGNC:16487,Q9NPF8
297,ADAR,HGNC:225,P55265
298,ADARB1,HGNC:226,P78563
299,ADARB2,HGNC:227,Q9NS39
300,ADAT1,HGNC:228,Q9BUB4
301,ADAT2,HGNC:21172,Q7Z6V5
302,ADAT3,HGNC:25151,Q96EY9
303,ADCK1,HGNC:19038,Q86TW2
304,ADCK2,HGNC:19039,Q7Z695
305,ADCK5,HGNC:21738,Q3MIX3
306,ADCY1,HGNC:232,Q08828
307,ADCY2,HGNC:233,Q08462
308,ADCY3,HGNC:234,O60266
309,ADCY4,HGNC:235,Q8NFM4
310,ADCY5,HGNC:236,O95622
311,ADCY6,HGNC:237,O43306
312,ADCY7,HGNC:238,P51828
313,ADCY8,HGNC:239,P40145
314,ADCY9,HGNC:240,O60503
315,ADCY10,HGNC:21285,Q96PN6
316,ADCYAP1,HGNC:241,P18509
317,ADCYAP1R1,HGNC:242,P41586
318,ADD1,HGNC:243,P35611
319,ADD2,HGNC:244,P35612
320,ADD3,HGNC:245,Q9UEY8
321,ADGB,HGNC:21212,Q8N7X0
322,ADGRA1,HGNC:13838,Q86SQ6
323,ADGRA2,HGNC:17849,Q96PE1
324,ADGRA3,HGNC:13839,Q8IWK6
325,ADGRB1,HGNC:943,O14514
326,ADGRB2,HGNC:944,O60241
327,ADGRB3,HGNC:945,O60242
328,ADGRD1,HGNC:19893,Q6QNK2
329,ADGRD2,HGNC:18651,Q7Z7M1
330,ADGRE1,HGNC:3336,Q14246
331,ADGRE2,HGNC:3337,Q9UHX3
332,ADGRE3,HGNC:23647,Q9BY15
333,ADGRE5,HGNC:1711,P48960
334,ADGRF1,HGNC:18990,Q5T601
335,ADGRF3,HGNC:18989,Q8IZF5
336,ADGRF4,HGNC:19011,Q8IZF3
337,ADGRF5,HGNC:19030,Q8IZF2
338,ADGRG1,HGNC:4512,Q9Y653
339,ADGRG2,HGNC:4516,Q8IZP9
340,ADGRG3,HGNC:13728,Q86Y34
341,ADGRG4,HGNC:18992,Q8IZF6
342,ADGRG5,HGNC:19010,Q8IZF4
343,ADGRG6,HGNC:13841,Q86SQ4
344,ADGRG7,HGNC:19241,Q96K78
345,ADGRL1,HGNC:20973,O94910
346,ADGRL2,HGNC:18582,O95490
347,ADGRL3,HGNC:20974,Q9HAR2
348,ADGRL4,HGNC:20822,Q9HBW9
349,ADGRV1,HGNC:17416,Q8WXG9
350,ADH1A,HGNC:249,P07327
351,ADH1B,HGNC:250,P00325
352,ADH1C,HGNC:251,P00326
353,ADH4,HGNC:252,P08319
