,Code,Title
206,1B21.Z,Non-tuberculous mycobacterial infection of unspecified site
207,1B2Y,Other specified mycobacterial diseases
208,1B2Z,"Mycobacterial diseases, unspecified"
211,1B40,Acute rheumatic fever without mention of heart involvement
212,1B40.0,"Rheumatic arthritis, acute or subacute"
213,1B40.Y,Other specified acute rheumatic fever without mention of heart involvement
214,1B40.Z,"Acute rheumatic fever without mention of heart involvement, unspecified"
215,1B41,Acute rheumatic fever with heart involvement
216,1B41.0,Acute rheumatic pericarditis
217,1B41.1,Acute rheumatic endocarditis
218,1B41.10,Rheumatic aortitis
219,1B41.1Y,Other specified acute rheumatic endocarditis
220,1B41.1Z,"Acute rheumatic endocarditis, unspecified"
221,1B41.2,Acute rheumatic myocarditis
222,1B41.Y,Other acute rheumatic heart disease
223,1B41.Z,"Acute rheumatic heart disease, unspecified"
224,1B42,Rheumatic chorea
225,1B50,Scarlet fever
226,1B51,Streptococcal pharyngitis
227,1B53,Meningitis due to Streptococcus
228,1B54,Meningitis due to Staphylococcus
229,1B5Y,Other specified staphylococcal or streptococcal diseases
230,1B5Z,"Staphylococcal or streptococcal diseases, unspecified"
232,1B70,"Bacterial cellulitis, erysipelas or lymphangitis"
233,1B70.0,Erysipelas
234,1B70.00,Erysipelas of face
235,1B70.01,Erysipelas of external ear
236,1B70.02,Erysipelas of lower limb
237,1B70.0Y,Erysipelas of other specified site
238,1B70.0Z,"Erysipelas, unspecified"
239,1B70.1,Streptococcal cellulitis of skin
240,1B70.2,Staphylococcal cellulitis of skin
241,1B70.3,Ascending bacterial lymphangitis
242,1B70.Y,Bacterial cellulitis or lymphangitis due to other specified bacterium
243,1B70.Z,Bacterial cellulitis or lymphangitis due to unspecified bacterium
244,1B71,Necrotising fasciitis
245,1B71.0,Streptococcal necrotising fasciitis
246,1B71.1,Polymicrobial necrotising fasciitis
247,1B71.2,Neonatal necrotising fasciitis
248,1B71.Y,Necrotising fasciitis due to other specified bacterial infection
249,1B71.Z,"Necrotising fasciitis, unspecified"
250,1B72,Impetigo
251,1B72.0,Bullous impetigo
252,1B72.1,Non-bullous impetigo
253,1B72.2,Secondary impetiginisation of the skin
254,1B72.Y,Other specified impetigo
255,1B72.Z,"Impetigo, unspecified"
256,1B73,Ecthyma
257,1B73.0,Streptococcal ecthyma
258,1B73.1,Staphylococcal ecthyma
259,1B73.2,Ecthyma gangrenosum
260,1B73.Y,Other specified ecthyma
